service_period,unit_number,unit_status,resident_id,resident_name,number_of_occupants,square_footage,bedrooms,days_occupied,water_usage,water_charge,sewer_usage,sewer_charge,gas_usage,gas_charge,electric_usage,electric_charge,total_charge
2024-03-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,8.93,25,26.79,45.54,17.48,22.72,83.32,13.33,106.59
2024-04-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,6.5,18.2,19.5,33.15,24.28,31.56,149.36,23.9,106.81
2024-05-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,6.27,17.56,18.81,31.98,12.28,15.96,52.1,8.34,73.84
2024-06-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,4.57,12.8,13.71,23.31,28.83,37.48,53.9,8.62,82.21
2024-07-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,9.84,27.55,29.52,50.18,15.92,20.7,111.62,17.86,116.29
2024-08-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,5.33,14.92,15.99,27.18,15.64,20.33,139.8,22.37,84.8
2024-09-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,5.44,15.23,16.32,27.74,14.66,19.06,149.51,23.92,85.95
2024-10-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,5.3,14.84,15.9,27.03,18.94,24.62,70.78,11.32,77.81
2024-11-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,6.54,18.31,19.62,33.35,26.55,34.52,119.56,19.13,105.31
2024-12-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,7.21,20.19,21.63,36.77,26.04,33.85,98.67,15.79,106.6
2025-01-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,7.95,22.26,23.85,40.55,19.1,24.83,138.35,22.14,109.78
2021-02-01,101,vacant,0,null,0,1200,1,29,0.76,2.13,2.28,3.88,0.57,0.74,1.18,0.19,6.94
2021-04-01,101,vacant,0,null,0,1200,1,12,0.33,0.92,0.99,1.68,0.29,0.38,1.93,0.31,3.29
2022-01-01,101,vacant,0,null,0,1200,1,7,0.12,0.34,0.36,0.61,0.06,0.08,0.03,0,1.03
2022-06-01,101,vacant,0,null,0,1200,1,26,0.14,0.39,0.42,0.71,0.29,0.38,2.84,0.45,1.93
2022-07-01,101,vacant,0,null,0,1200,1,15,0.29,0.81,0.87,1.48,0.22,0.29,2.33,0.37,2.95
2023-08-01,101,vacant,0,null,0,1200,1,11,0.27,0.76,0.81,1.38,0.22,0.29,1.64,0.26,2.69
2023-11-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,4.68,13.1,14.04,23.87,18.82,24.47,149.12,23.86,85.3
2023-12-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,6.56,18.37,19.68,33.46,18.5,24.05,126.06,20.17,96.05
2024-01-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,8.05,22.54,24.15,41.05,19.62,25.51,72.54,11.61,100.71
2024-02-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,9.43,26.4,28.29,48.09,16.54,21.5,73.56,11.77,107.76
2024-03-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,4.48,12.54,13.44,22.85,28.23,36.7,56.15,8.98,81.07
2024-04-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,4.8,13.44,14.4,24.48,13.33,17.33,56.04,8.97,64.22
2024-05-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,3.98,11.14,11.94,20.3,10.24,13.31,118.22,18.92,63.67
2024-06-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,5.99,16.77,17.97,30.55,21.27,27.65,136.89,21.9,96.87
2024-07-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,5.92,16.58,17.76,30.19,26.19,34.05,133.49,21.36,102.18
2024-08-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,5.27,14.76,15.81,26.88,21.22,27.59,113.42,18.15,87.38
2024-09-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,4.96,13.89,14.88,25.3,25.74,33.46,72.35,11.58,84.23
2024-10-01,102,occupied,3435440,Andrew Callahan,3,1200,1,30,9.14,25.59,27.42,46.61,21.39,27.81,87.75,14.04,114.05
2020-01-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,8.96,25.09,26.88,45.7,24.27,31.55,62.41,9.99,112.33
2020-02-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.62,10.14,10.86,18.46,19.16,24.91,70.06,11.21,64.72
2020-03-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,6,16.8,18,30.6,16.68,21.68,69.89,11.18,80.26
2020-04-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.61,10.11,10.83,18.41,22.57,29.34,117.08,18.73,76.59
2020-05-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,5.64,15.79,16.92,28.76,18.36,23.87,88.6,14.18,82.6
2020-06-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,5.67,15.88,17.01,28.92,27.46,35.7,58.39,9.34,89.84
2020-07-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,6.14,17.19,18.42,31.31,16.51,21.46,105.35,16.86,86.82
2020-08-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.1,8.68,9.3,15.81,26.92,35,92.07,14.73,74.22
2020-09-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,9.5,26.6,28.5,48.45,26.68,34.68,59.26,9.48,119.21
2020-10-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,9.44,26.43,28.32,48.14,14.95,19.43,97.25,15.56,109.56
2020-11-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,7.35,20.58,22.05,37.48,14.26,18.54,85.36,13.66,90.26
2020-12-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.8,13.44,14.4,24.48,26.49,34.44,75.99,12.16,84.52
2021-01-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.16,8.85,9.48,16.12,12.32,16.02,140.53,22.48,63.47
2021-02-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,7.94,22.23,23.82,40.49,13.61,17.69,89.65,14.34,94.75
2021-03-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.85,10.78,11.55,19.64,24.82,32.27,147.32,23.57,86.26
2021-04-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,8.49,23.77,25.47,43.3,14.87,19.33,93.24,14.92,101.32
2021-05-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.83,10.72,11.49,19.53,15.36,19.97,147.35,23.58,73.8
2021-06-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.54,9.91,10.62,18.05,21.76,28.29,136.57,21.85,78.1
2021-07-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,9.48,26.54,28.44,48.35,13.91,18.08,124.03,19.84,112.81
2021-08-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,5.16,14.45,15.48,26.32,19.83,25.78,61.45,9.83,76.38
2021-09-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,5.23,14.64,15.69,26.67,14.25,18.53,53.09,8.49,68.33
2021-10-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,9.06,25.37,27.18,46.21,22.59,29.37,67.21,10.75,111.7
2021-11-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.77,13.36,14.31,24.33,19.09,24.82,132.91,21.27,83.78
2021-12-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,7.77,21.76,23.31,39.63,10.53,13.69,101.43,16.23,91.31
2022-01-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.09,11.45,12.27,20.86,27.89,36.26,73.53,11.76,80.33
2022-02-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.48,12.54,13.44,22.85,13.72,17.84,80.57,12.89,66.12
2022-03-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.54,12.71,13.62,23.15,24.52,31.88,123.03,19.68,87.42
2022-04-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,9.37,26.24,28.11,47.79,21.62,28.11,61.13,9.78,111.92
2022-05-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,9.03,25.28,27.09,46.05,11.9,15.47,96.52,15.44,102.24
2022-06-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,6.89,19.29,20.67,35.14,22.98,29.87,148.32,23.73,108.03
2022-07-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,5.3,14.84,15.9,27.03,21.37,27.78,91.57,14.65,84.3
2022-08-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,5.23,14.64,15.69,26.67,26.27,34.15,129.6,20.74,96.2
2022-09-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,7.86,22.01,23.58,40.09,23.15,30.09,119.72,19.16,111.35
2022-10-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.81,13.47,14.43,24.53,20.92,27.2,77.76,12.44,77.64
2022-11-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.48,9.74,10.44,17.75,20.2,26.26,50.68,8.11,61.86
2022-12-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,9.79,27.41,29.37,49.93,29.48,38.32,143.18,22.91,138.57
2023-01-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,7.71,21.59,23.13,39.32,19.7,25.61,53.18,8.51,95.03
2023-02-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,3.48,9.74,10.44,17.75,12.78,16.61,137.51,22,66.1
2023-03-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.7,13.16,14.1,23.97,26.55,34.52,141.62,22.66,94.31
2023-04-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,9.34,26.15,28.02,47.63,16.23,21.1,145.05,23.21,118.09
2023-05-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,5.13,14.36,15.39,26.16,13.52,17.58,68.54,10.97,69.07
2023-06-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.48,12.54,13.44,22.85,12.61,16.39,114.98,18.4,70.18
2023-07-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,13.22951537,37.04,44.59155466,75.81,72.13883983,93.78,185.1302922,29.62,236.25
2023-08-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,6.41,17.95,19.23,32.69,14.37,18.68,64.5,10.32,79.64
2023-09-01,102,occupied,5713058,Madeline Sanchez,3,1200,1,30,4.85,13.58,14.55,24.73,12.75,16.57,93.74,15,69.88
2023-10-01,102,vacant,0,null,0,1200,1,7,0.05,0.14,0.15,0.26,0.18,0.23,0.2,0.03,0.66
2024-11-01,102,vacant,0,null,0,1200,1,9,0.25,0.7,0.75,1.27,0.17,0.22,1.13,0.18,2.37
2020-01-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,4.18,11.7,12.54,21.32,12.2,15.86,54.59,8.73,57.61
2020-02-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,8.39,23.49,25.17,42.79,12.1,15.73,69.27,11.08,93.09
2020-03-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,3.86,10.81,11.58,19.69,11.46,14.9,136.07,21.77,67.17
2020-04-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,7.79,21.81,23.37,39.73,19.86,25.82,133.35,21.34,108.7
2020-05-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,3.06,8.57,9.18,15.61,29.28,38.06,129.12,20.66,82.9
2020-06-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,9.22,25.82,27.66,47.02,16.25,21.12,70.14,11.22,105.18
2020-07-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,7.75,21.7,23.25,39.52,13.41,17.43,119.8,19.17,97.82
2020-08-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,4.69,13.13,14.07,23.92,28.94,37.62,88.07,14.09,88.76
2020-09-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,7.02,19.66,21.06,35.8,13.15,17.1,91.6,14.66,87.22
2020-10-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,3.97,11.12,11.91,20.25,16.23,21.1,51.39,8.22,60.69
2020-11-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,8.3,23.24,24.9,42.33,15.7,20.41,141,22.56,108.54
2020-12-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,4.59,12.85,13.77,23.41,12.62,16.41,111.1,17.78,70.45
2021-01-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,9.65,27.02,28.95,49.22,29.59,38.47,128.97,20.64,135.35
2021-02-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,6.79,19.01,20.37,34.63,17.05,22.17,75.87,12.14,87.95
2021-03-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,3.9,10.92,11.7,19.89,12.18,15.83,91.54,14.65,61.29
2021-04-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,8.55,23.94,25.65,43.61,13.29,17.28,140.98,22.56,107.39
2021-05-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,7.08,19.82,21.24,36.11,22.8,29.64,90.49,14.48,100.05
2021-06-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,7.77,21.76,23.31,39.63,22.88,29.74,107.4,17.18,108.31
2021-07-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,5.86,16.41,17.58,29.89,14.34,18.64,61.82,9.89,74.83
2021-08-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,4.04,11.31,12.12,20.6,24.91,32.38,93.33,14.93,79.22
2021-09-01,103,occupied,2541170,Cassandra Munoz,2,1200,1,30,6.51,18.23,19.53,33.2,17.3,22.49,104.07,16.65,90.57
2022-12-01,103,occupied,4861886,Mark Bates,4,1200,1,30,4.89,13.69,14.67,24.94,27.43,35.66,74.85,11.98,86.27
2023-01-01,103,occupied,4861886,Mark Bates,4,1200,1,30,5.41,15.15,16.23,27.59,14.16,18.41,116.77,18.68,79.83
2023-02-01,103,occupied,4861886,Mark Bates,4,1200,1,30,6.15,17.22,18.45,31.37,13.62,17.71,124.26,19.88,86.18
2023-03-01,103,occupied,4861886,Mark Bates,4,1200,1,30,5.38,15.06,16.14,27.44,16.92,22,96.26,15.4,79.9
2023-04-01,103,occupied,4861886,Mark Bates,4,1200,1,30,4.39,12.29,13.17,22.39,14.3,18.59,104.53,16.72,69.99
2023-05-01,103,occupied,4861886,Mark Bates,4,1200,1,30,5.97,16.72,17.91,30.45,11.3,14.69,137.57,22.01,83.87
2023-06-01,103,occupied,4861886,Mark Bates,4,1200,1,30,9.32,26.1,27.96,47.53,24.3,31.59,123.02,19.68,124.9
2023-07-01,103,occupied,4861886,Mark Bates,4,1200,1,30,4.83,13.52,14.49,24.63,28.48,37.02,79.86,12.78,87.95
2023-08-01,103,occupied,4861886,Mark Bates,4,1200,1,30,5.23,14.64,15.69,26.67,12.02,15.63,121.71,19.47,76.41
2023-09-01,103,occupied,4861886,Mark Bates,4,1200,1,30,9.44,26.43,28.32,48.14,18.72,24.34,82,13.12,112.03
2023-10-01,103,occupied,4861886,Mark Bates,4,1200,1,30,7.99,22.37,23.97,40.75,27.67,35.97,51.32,8.21,107.3
2023-11-01,103,occupied,4861886,Mark Bates,4,1200,1,30,3.73,10.44,11.19,19.02,29.29,38.08,64.63,10.34,77.88
2023-12-01,103,occupied,4861886,Mark Bates,4,1200,1,30,19.45418472,54.47,31.69770366,53.89,37.94687374,49.33,236.9551035,37.91,195.6
2021-10-01,103,vacant,0,null,0,1200,1,6,0.01,0.03,0.03,0.05,0.02,0.03,0.52,0.08,0.19
2022-03-01,103,vacant,0,null,0,1200,1,9,0.07,0.2,0.21,0.36,0.22,0.29,0.44,0.07,0.92
2022-08-01,103,vacant,0,null,0,1200,1,11,0.33,0.92,0.99,1.68,0.17,0.22,0.41,0.07,2.89
2022-11-01,103,vacant,0,null,0,1200,1,19,0.48,1.34,1.44,2.45,0.56,0.73,0.01,0,4.52
2024-01-01,103,vacant,0,null,0,1200,1,8,9.74,27.27,29.22,49.67,0.06,0.08,0.96,0.15,77.17
2024-06-01,103,vacant,0,null,0,1200,1,20,0.59,1.65,1.77,3.01,0.31,0.4,0.52,0.08,5.14
2024-08-01,103,vacant,0,null,0,1200,1,5,0.05,0.14,0.15,0.26,0.04,0.05,0.01,0,0.45
2024-10-01,103,vacant,0,null,0,1200,1,16,0.09,0.25,0.27,0.46,0.28,0.36,0.05,0.01,1.08
2023-12-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,7.81,21.87,23.43,39.83,20.75,26.98,82.81,13.25,101.93
2024-01-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,6.41,17.95,19.23,32.69,15.22,19.79,85.34,13.65,84.08
2024-02-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,9.09,25.45,27.27,46.36,19.82,25.77,57.12,9.14,106.72
2024-03-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,8.46,23.69,25.38,43.15,18.76,24.39,104.74,16.76,107.99
2024-04-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,5.98,16.74,17.94,30.5,15.94,20.72,120.73,19.32,87.28
2024-05-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,4.69,13.13,14.07,23.92,22.56,29.33,117.28,18.76,85.14
2024-06-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,4.61,12.91,13.83,23.51,13.28,17.26,64.64,10.34,64.02
2024-07-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,5.4,15.12,16.2,27.54,28.42,36.95,54.26,8.68,88.29
2024-08-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,4.37,12.24,13.11,22.29,23.3,30.29,91.62,14.66,79.48
2024-09-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,4.31,12.07,12.93,21.98,23.86,31.02,105.37,16.86,81.93
2024-10-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,6.51,18.23,19.53,33.2,12.62,16.41,87.01,13.92,81.76
2024-11-01,104,occupied,2131639,Veronica Sawyer,5,1200,3,30,3.52,9.86,10.56,17.95,14.97,19.46,137.98,22.08,69.35
2020-01-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,7.64,21.39,22.92,38.96,22.18,28.83,74.99,12,101.18
2020-02-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,3,8.4,9,15.3,25.93,33.71,94.15,15.06,72.47
2020-03-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,7.74,21.67,23.22,39.47,18.96,24.65,90.64,14.5,100.29
2020-04-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,5.84,16.35,17.52,29.78,24.02,31.23,148.97,23.84,101.2
2020-05-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,6.52,18.26,19.56,33.25,24.28,31.56,103.83,16.61,99.68
2020-06-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,9.43,26.4,28.29,48.09,24.9,32.37,95.95,15.35,122.21
2020-07-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,5.34,14.95,16.02,27.23,11.04,14.35,73.43,11.75,68.28
2020-08-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,9.41,26.35,28.23,47.99,25.24,32.81,72.51,11.6,118.75
2020-09-01,104,occupied,8662606,Mark Alexander,2,1200,3,30,7.2,20.16,21.6,36.72,15.93,20.71,143.6,22.98,100.57
